Film,Franchise,Film Rating,Genre,Release Date,Metacritic Score,Production Budget,WW Gross,Wins,Nominations,Oscar Winner,Oscar Nominee,Production Studio,Country of Origin,Length,Director,Sequence,Ratio,Sequel Film,Sequel Film Rating,Sequel Genre,Sequel Release Date,Sequel Production Budget,Sequel WW Gross,Sequel Ratio,Sequel Length,Sequel Director,Sequel Studio,Months Between Releases
The Lord of the Rings: The Two Towers,lotr,PG-13,Adventure,2002-12-18,87.0,94000000.0,951208089,123,137,1,1,New Line Cinema,New Zealand,179,Peter Jackson,2,10.119234989361700,The Lord of the Rings: The Return of the King,PG-13,Adventure,2003-12-17,94000000.0,1142219401,12.151270223404300,201,Peter Jackson,New Line Cinema,12
Machete,machete,R,Action,2010-09-03,60.0,10500000.0,45491656,2,6,0,0,Overnight Films,USA,105,Ethan Maniquis,1,4.332538666666670,Machete Kills,R,Action,2013-10-11,20000000.0,17496820,0.874841,107,Robert Rodriguez,AR Films,37
Madagascar,madagascar,PG,Animation,2005-05-27,57.0,75000000.0,542063846,4,32,0,0,DreamWorks Animation,USA,86,Eric Darnell,1,7.227517946666670,Madagascar: Escape 2 Africa,PG,Animation,2008-11-07,150000000.0,603900354,4.02600236,89,Eric Darnell,DreamWorks Animation,42
Madagascar: Escape 2 Africa,madagascar,PG,Animation,2008-11-07,61.0,150000000.0,603900354,4,11,0,0,DreamWorks Animation,USA,89,Eric Darnell,2,4.02600236,Madagascar 3: Europe's Most Wanted,PG,Animation,2012-06-08,145000000.0,746921274,5.1511812,93,Eric Darnell,DreamWorks Animation,43
Mad Max,madmax,R,Action,1980-03-21,73.0,350000.0,8771757,4,7,0,0,Kennedy Miller Productions,Australia,88,George Miller,1,25.06216285714290,Mad Max 2: The Road Warrior,R,Action,1982-05-21,2000000.0,23667907,11.8339535,96,George Miller,Kennedy Miller Productions,26
Mad Max 2: The Road Warrior,madmax,R,Action,1982-05-21,77.0,2000000.0,23667907,8,10,0,0,Kennedy Miller Productions,Australia,96,George Miller,2,11.8339535,Mad Max Beyond Thunderdome,PG-13,Action,1985-07-10,10000000.0,36230219,3.6230219,107,George Miller,Kennedy Miller Productions,38
Magic Mike,magic,R,Comedy,2012-06-29,72.0,7000000.0,167739368,9,14,0,0,Iron Horse Entertainment (II),USA,110,Steven Soderbergh,1,23.962766857142900,Magic Mike XXL,R,Comedy,2015-07-01,14800000.0,117813057,7.960341689189190,115,Gregory Jacobs,Warner Bros.,37
Paul Blart: Mall Cop,mallcop,PG,Action,2009-01-16,39.0,26000000.0,183348429,1,3,0,0,Columbia Pictures,USA,91,Steve Carr,1,7.051862653846150,Paul Blart: Mall Cop 2,PG,Action,2015-04-17,30000000.0,107588225,3.5862741666666700,94,Andy Fickman,Columbia Pictures,75
Mamma Mia!,mamma,PG-13,Comedy,2008-07-18,51.0,52000000.0,609896805,15,23,0,0,Universal Pictures,USA,108,Phyllida Lloyd,1,11.728784711538500,Mamma Mia! Here We Go Again,PG-13,Comedy,2018-07-20,75000000.0,395044706,5.267262746666670,114,Ol Parker,Universal Pictures,120
El Mariachi,mariachi,R,Action,1993-02-26,73.0,7000.0,2040920,7,4,0,0,Columbia Pictures,Mexico,81,Robert Rodriguez,1,291.56,Desperado,R,Action,1995-08-25,7000000.0,25405445,3.6293492857142900,104,Robert Rodriguez,Columbia Pictures,30
