Film,Franchise,Film Rating,Genre,Release Date,Metacritic Score,Production Budget,WW Gross,Wins,Nominations,Oscar Winner,Oscar Nominee,Production Studio,Country of Origin,Length,Director,Sequence,Ratio,Sequel Film,Sequel Film Rating,Sequel Genre,Sequel Release Date,Sequel Production Budget,Sequel WW Gross,Sequel Ratio,Sequel Length,Sequel Director,Sequel Studio,Months Between Releases
Pirates of the Caribbean: At World's End,pirate,PG-13,Action,2007-05-25,50.0,300000000.0,960996492,20,44,0,1,Walt Disney Pictures,USA,169,Gore Verbinski,3,3.20332164,Pirates of the Caribbean: On Stranger Tides,PG-13,Action,2011-05-20,250000000.0,1045713802,4.182855208,136,Rob Marshall,Walt Disney Pictures,48
Planet of the Apes,planetape,G,Adventure,1968-04-03,79.0,5800000.0,32595984,6,2,0,1,APJAC Productions,USA,112,Franklin J. Schaffner,1,5.61999724137931,Beneath the Planet of the Apes,G,Action,1970-05-26,3000000.0,18999718,6.333239333333330,95,Ted Post,Twentieth Century Fox,25
Beneath the Planet of the Apes,planetape,G,Action,1970-05-26,46.0,3000000.0,18999718,0,1,0,0,Twentieth Century Fox,USA,95,Ted Post,2,6.333239333333330,Escape from the Planet of the Apes,G,Action,1971-07-09,2500000.0,12348905,4.939562,98,Don Taylor,Twentieth Century Fox,14
Escape from the Planet of the Apes,planetape,G,Action,1971-07-09,69.0,2500000.0,12348905,0,1,0,0,Twentieth Century Fox,USA,98,Don Taylor,3,4.939562,Conquest of the Planet of the Apes,PG,Action,1972-06-30,1700000.0,9043472,5.319689411764710,88,J. Lee Thompson,Twentieth Century Fox,11
Conquest of the Planet of the Apes,planetape,PG,Action,1972-06-30,49.0,1700000.0,9043472,0,1,0,0,Twentieth Century Fox,USA,88,J. Lee Thompson,4,5.319689411764710,Battle for the Planet of the Apes,G,Action,1973-06-15,1800000.0,8844595,4.913663888888890,93,J. Lee Thompson,Apjac International,12
Battle for the Planet of the Apes,planetape,G,Action,1973-06-15,40.0,1800000.0,8844595,0,2,0,0,Apjac International,USA,93,J. Lee Thompson,5,4.913663888888890,Rise of the Planet of the Apes,PG-13,Action,2011-08-05,93000000.0,481800873,5.180654548387100,105,Rupert Wyatt,Twentieth Century Fox,458
Rise of the Planet of the Apes,planetape,PG-13,Action,2011-08-05,68.0,93000000.0,481800873,21,42,0,1,Twentieth Century Fox,USA,105,Rupert Wyatt,6,5.180654548387100,Dawn of the Planet of the Apes,PG-13,Action,2014-07-11,170000000.0,710644566,4.180262152941180,130,Matt Reeves,Chernin Entertainment,35
Dawn of the Planet of the Apes,planetape,PG-13,Action,2014-07-11,79.0,170000000.0,710644566,17,47,0,1,Chernin Entertainment,USA,130,Matt Reeves,7,4.180262152941180,War for the Planet of the Apes,PG-13,Action,2017-07-14,150000000.0,490719763,3.271465086666670,140,Matt Reeves,Twentieth Century Fox,36
Poltergeist,poltergeist,PG,Horror,1982-06-04,79.0,10700000.0,121700000,4,4,0,1,Metro-Goldwyn-Mayer (MGM),USA,114,Tobe Hooper,1,11.373831775700900,Poltergeist II: The Other Side,PG-13,Horror,1986-05-23,19000000.0,40996665,2.1577192105263200,91,Brian Gibson,Freddie Fields Productions,47
Poltergeist II: The Other Side,poltergeist,PG-13,Horror,1986-05-23,49.0,19000000.0,40996665,1,4,0,1,Freddie Fields Productions,USA,91,Brian Gibson,2,2.1577192105263200,Poltergeist III,PG-13,Horror,1988-06-10,10500000.0,14114488,1.3442369523809500,98,Gary Sherman,Metro-Goldwyn-Mayer (MGM),25
Predator,predator,R,Action,1987-06-12,45.0,15000000.0,98399956,3,5,0,1,Twentieth Century Fox,USA,107,John McTiernan,1,6.559997066666670,Predator 2,R,Action,1990-11-21,35000000.0,57120318,1.6320090857142900,108,Stephen Hopkins,Davis Entertainment,41
Predator 2,predator,R,Action,1990-11-21,46.0,35000000.0,57120318,1,4,0,0,Davis Entertainment,USA,108,Stephen Hopkins,2,1.6320090857142900,Predators,R,Action,2010-07-09,40000000.0,127233108,3.1808277,107,Nimród Antal,Twentieth Century Fox,236
The Princess Diaries,princess,G,Comedy,2001-08-03,52.0,26000000.0,165335153,3,11,0,0,Walt Disney Pictures,USA,111,Garry Marshall,1,6.359044346153850,The Princess Diaries 2: Royal Engagement,G,Comedy,2004-08-11,40000000.0,134734481,3.368362025,113,Garry Marshall,Walt Disney Pictures,36
Psycho,psycho,R,Horror,1960-09-08,97.0,806947.0,32000000,5,10,0,1,Shamley Productions,USA,109,Alfred Hitchcock,1,39.65564033325610,Psycho II,R,Crime,1983-06-03,5000000.0,34725000,6.945,113,Richard Franklin,Universal Pictures,273
The Punisher,punisher,R,Action,2004-04-16,33.0,33000000.0,54700105,1,5,0,0,Lions Gate Films,USA,124,Jonathan Hensleigh,1,1.6575789393939400,Punisher: War Zone,R,Action,2008-12-05,35000000.0,10161493,0.29032837142857100,103,Lexi Alexander,Lionsgate,56
The Purge,purge,R,Horror,2013-06-07,41.0,3000000.0,89328627,2,6,0,0,Universal Pictures,USA,85,James DeMonaco,1,29.776209,The Purge: Anarchy,R,Action,2014-07-18,9000000.0,111928365,12.436485,103,James DeMonaco,Universal Pictures,13
The Purge: Anarchy,purge,R,Action,2014-07-18,50.0,9000000.0,111928365,3,6,0,0,Universal Pictures,USA,103,James DeMonaco,2,12.436485,The Purge: Election Year,R,Action,2016-07-01,10000000.0,118587880,11.858788,108,James DeMonaco,Universal Pictures,24
The Raid: Redemption,raid,R,Action,2012-04-13,73.0,1100000.0,9148519,8,13,0,0,Pt. Merantau Films,Indonesia,101,Gareth Evans,1,8.316835454545460,The Raid 2,R,Action,2014-04-11,4500000.0,6566916,1.4593146666666700,150,Gareth Evans,Pt. Merantau Films,24
Wreck-It Ralph,ralph,PG,Animation,2012-11-02,72.0,165000000.0,471222889,33,41,0,1,Walt Disney Animation Studios,USA,101,Rich Moore,1,2.855896296969700,Ralph Breaks the Internet,PG,Animation,2018-11-21,175000000.0,529323962,3.0247083542857100,112,Phil Johnston,Walt Disney Animation Studios,72
First Blood,rambo,R,Action,1982-10-22,61.0,15000000.0,125212904,1,2,0,0,Anabasis N.V.,USA,93,Ted Kotcheff,1,8.347526933333330,Rambo: First Blood Part II,R,Action,1985-05-22,44000000.0,300400432,6.827282545454550,96,George P. Cosmatos,Estudios Churubusco Azteca S.A.,31
Rambo: First Blood Part II,rambo,R,Action,1985-05-22,47.0,44000000.0,300400432,5,4,0,1,Estudios Churubusco Azteca S.A.,USA,96,George P. Cosmatos,2,6.827282545454550,Rambo III,R,Action,1988-05-25,63000000.0,189015611,3.000247793650790,102,Peter MacDonald,Carolco Pictures,36
Rambo III,rambo,R,Action,1988-05-25,36.0,63000000.0,189015611,2,5,0,0,Carolco Pictures,USA,102,Peter MacDonald,3,3.000247793650790,Rambo,R,Action,2008-01-25,50000000.0,113244290,2.2648858,92,Sylvester Stallone,Lionsgate,236
REC,rec,R,Horror,2007-11-23,69.0,1995000.0,32511655,16,12,0,0,Castelao Producciones,Spain,78,Jaume Balagueró,1,16.296568922305800,[Rec] 2,R,Horror,2009-10-02,5600000.0,18853164,3.3666364285714300,85,Jaume Balagueró,Filmax,23
[Rec] 2,rec,R,Horror,2009-10-02,52.0,5600000.0,18853164,5,3,0,0,Filmax,Spain,85,Jaume Balagueró,2,3.3666364285714300,[REC] 3: Genesis,R,Horror,2012-03-30,6400000.0,11019975,1.72187109375,80,Paco Plaza,Filmax,29
[REC] 3: Genesis,rec,R,Horror,2012-03-30,45.0,6400000.0,11019975,2,8,0,0,Filmax,Spain,80,Paco Plaza,3,1.72187109375,[REC] 4: Apocalypse,R,Horror,2014-10-31,3990000.0,4915757,1.232019298245610,95,Jaume Balagueró,Filmax,31
RED,red,PG-13,Action,2010-10-15,60.0,58000000.0,199006387,4,18,0,0,Summit Entertainment,USA,111,Robert Schwentke,1,3.431144603448280,RED 2,PG-13,Action,2013-07-19,84000000.0,148075565,1.7628043452381000,116,Dean Parisot,Summit Entertainment,33
Resident Evil,resident,R,Action,2002-03-15,33.0,33000000.0,102984862,0,7,0,0,Constantin Film,UK,100,Paul W.S. Anderson,1,3.120753393939390,Resident Evil: Apocalypse,R,Action,2004-09-10,45000000.0,129342769,2.8742837555555600,94,Alexander Witt,Davis Films / Impact Pictures,30
Resident Evil: Apocalypse,resident,R,Action,2004-09-10,35.0,45000000.0,129342769,6,3,0,0,Davis Films / Impact Pictures,Germany,94,Alexander Witt,2,2.8742837555555600,Resident Evil: Extinction,R,Action,2007-09-21,45000000.0,147717833,3.282618511111110,94,Russell Mulcahy,Screen Gems,36
Resident Evil: Extinction,resident,R,Action,2007-09-21,41.0,45000000.0,147717833,2,1,0,0,Screen Gems,France,94,Russell Mulcahy,3,3.282618511111110,Resident Evil: Afterlife,R,Action,2010-09-10,60000000.0,300228084,5.0038014,96,Paul W.S. Anderson,Constantin Film,36
Resident Evil: Afterlife,resident,R,Action,2010-09-10,37.0,60000000.0,300228084,2,8,0,0,Constantin Film,Germany,96,Paul W.S. Anderson,4,5.0038014,Resident Evil: Retribution,R,Action,2012-09-14,65000000.0,240159255,3.6947577692307700,95,Paul W.S. Anderson,Constantin Film International,24
Pitch Black,riddick,R,Horror,2000-02-18,49.0,23000000.0,53187659,2,9,0,0,Polygram Filmed Entertainment,USA,109,David Twohy,1,2.312506913043480,The Chronicles of Riddick,R,Action,2004-06-11,105000000.0,115900534,1.1038146095238100,119,David Twohy,Universal Pictures,52
The Chronicles of Riddick,riddick,R,Action,2004-06-11,38.0,105000000.0,115900534,0,5,0,0,Universal Pictures,USA,119,David Twohy,2,1.1038146095238100,Riddick,R,Action,2013-09-06,38000000.0,98337295,2.587823552631580,119,David Twohy,Riddick Canada Productions,111
Ride Along,ride,PG-13,Action,2014-01-17,41.0,25000000.0,154468902,1,7,0,0,Universal Pictures,USA,99,Tim Story,1,6.17875608,Ride Along 2,PG-13,Action,2016-01-15,40000000.0,124605297,3.115132425,102,Tim Story,Universal Pictures,24
The Ring,ring,PG-13,Horror,2002-10-18,57.0,48000000.0,249348933,14,12,0,0,DreamWorks,USA,115,Gore Verbinski,1,5.1947694375,The Ring Two,PG-13,Horror,2005-03-18,50000000.0,163995949,3.27991898,110,Hideo Nakata,DreamWorks,29
Rio,rio,G,Animation,2011-04-15,63.0,90000000.0,483866518,3,30,0,1,Twentieth Century Fox Animation,USA,96,Carlos Saldanha,1,5.376294644444440,Rio 2,G,Animation,2014-04-11,103000000.0,498781117,4.8425351165048500,101,Carlos Saldanha,Twentieth Century Fox Animation,36
The Talented Mr. Ripley,ripley,R,Crime,1999-12-25,76.0,40000000.0,128798265,10,76,0,1,Miramax,USA,139,Anthony Minghella,1,3.219956625,Ripley's Game,R,Crime,2003-02-07,30000000.0,6200970,0.206699,110,Liliana Cavani,Baby Films,38
RoboCop,robocop,R,Action,1987-07-17,67.0,13000000.0,53424681,11,10,0,1,Orion Pictures,USA,102,Paul Verhoeven,1,4.109590846153850,RoboCop 2,R,Action,1990-06-22,35000000.0,45681173,1.3051763714285700,117,Irvin Kershner,Orion Pictures,35
RoboCop 2,robocop,R,Action,1990-06-22,42.0,35000000.0,45681173,0,3,0,0,Orion Pictures,USA,117,Irvin Kershner,2,1.3051763714285700,RoboCop 3,PG-13,Action,1993-11-05,22000000.0,10696210,0.4861913636363640,104,Fred Dekker,Orion Pictures,41
Rocky,rocky,PG,Drama,1976-12-03,70.0,960000.0,117235147,17,21,1,1,Chartoff-Winkler Productions,USA,120,John G. Avildsen,1,122.11994479166700,Rocky II,PG,Drama,1979-06-15,7000000.0,85182160,12.16888,119,Sylvester Stallone,Chartoff-Winkler Productions,30
Rocky II,rocky,PG,Drama,1979-06-15,61.0,7000000.0,85182160,2,2,0,0,Chartoff-Winkler Productions,USA,119,Sylvester Stallone,2,12.16888,Rocky III,PG,Drama,1982-05-28,17000000.0,125049125,7.355830882352940,99,Sylvester Stallone,Chartoff-Winkler Productions,35
Rocky III,rocky,PG,Drama,1982-05-28,57.0,17000000.0,125049125,2,7,0,1,Chartoff-Winkler Productions,USA,99,Sylvester Stallone,3,7.355830882352940,Rocky IV,PG,Drama,1985-11-27,30000000.0,300473716,10.015790533333300,91,Sylvester Stallone,United Artists,42
Rocky IV,rocky,PG,Drama,1985-11-27,40.0,30000000.0,300473716,9,5,0,0,United Artists,USA,91,Sylvester Stallone,4,10.015790533333300,Rocky V,PG-13,Drama,1990-11-16,42000000.0,119946358,2.855865666666670,104,John G. Avildsen,United Artists,60
Rocky V,rocky,PG-13,Drama,1990-11-16,55.0,42000000.0,119946358,0,9,0,0,United Artists,USA,104,John G. Avildsen,5,2.855865666666670,Rocky Balboa,PG,Action,2006-12-20,24000000.0,155929020,6.4970425,102,Sylvester Stallone,Metro-Goldwyn-Mayer (MGM),193
Romancing the Stone,romancestone,PG,Action,1984-03-30,63.0,10000000.0,86572238,8,3,0,1,Twentieth Century Fox,Mexico,106,Robert Zemeckis,1,8.6572238,The Jewel of the Nile,PG,Action,1985-12-11,25000000.0,96773200,3.870928,106,Lewis Teague,SLM Production Group,21
The Jewel of the Nile,romancestone,PG,Action,1985-12-11,53.0,25000000.0,96773200,8,3,0,1,SLM Production Group,USA,106,Lewis Teague,2,3.870928,The War of the Roses,R,Comedy,1989-12-08,26000000.0,160188546,6.161097923076920,116,Danny DeVito,Twentieth Century Fox,48
Rush Hour,rush,PG-13,Action,1998-09-18,60.0,33000000.0,244721064,6,9,0,0,New Line Cinema,USA,98,Brett Ratner,1,7.4157898181818200,Rush Hour 2,PG-13,Action,2001-08-03,90000000.0,347325802,3.8591755777777800,90,Brett Ratner,New Line Cinema,35
Rush Hour 2,rush,PG-13,Action,2001-08-03,48.0,90000000.0,347325802,10,22,0,0,New Line Cinema,Hong Kong,90,Brett Ratner,2,3.8591755777777800,Rush Hour 3,PG-13,Action,2007-08-10,140000000.0,258097122,1.8435508714285700,91,Brett Ratner,New Line Cinema,72
The Santa Clause,santa,PG,Comedy,1994-11-11,57.0,22000000.0,189833357,2,8,0,0,Walt Disney Pictures,USA,97,John Pasquin,1,8.628788954545450,The Santa Clause 2,G,Comedy,2002-11-01,65000000.0,172855065,2.6593086923076900,104,Michael Lembeck,Walt Disney Pictures,96
The Santa Clause 2,santa,G,Comedy,2002-11-01,48.0,65000000.0,172855065,1,3,0,0,Walt Disney Pictures,USA,104,Michael Lembeck,2,2.6593086923076900,The Santa Clause 3: The Escape Clause,G,Adventure,2006-11-03,12000000.0,110768122,9.230676833333330,97,Michael Lembeck,Walt Disney Pictures,48
Saw,saw,R,Horror,2004-10-29,46.0,1200000.0,103911669,8,10,0,0,Evolution Entertainment,USA,103,James Wan,1,86.5930575,Saw II,R,Crime,2005-10-28,4000000.0,147748505,36.93712625,93,Darren Lynn Bousman,Twisted Pictures,12
Saw II,saw,R,Crime,2005-10-28,40.0,4000000.0,147748505,4,8,0,0,Twisted Pictures,USA,93,Darren Lynn Bousman,2,36.93712625,Saw III,R,Horror,2006-10-27,10000000.0,164874275,16.4874275,108,Darren Lynn Bousman,Twisted Pictures,12
Saw III,saw,R,Horror,2006-10-27,48.0,10000000.0,164874275,1,5,0,0,Twisted Pictures,USA,108,Darren Lynn Bousman,3,16.4874275,Saw IV,R,Horror,2007-10-26,10000000.0,139352633,13.9352633,93,Darren Lynn Bousman,Twisted Pictures,12
Saw IV,saw,R,Horror,2007-10-26,36.0,10000000.0,139352633,2,6,0,0,Twisted Pictures,USA,93,Darren Lynn Bousman,4,13.9352633,Saw V,R,Horror,2008-10-24,10800000.0,113864059,10.542968425925900,92,David Hackl,Twisted Pictures,12
Saw V,saw,R,Horror,2008-10-24,20.0,10800000.0,113864059,1,1,0,0,Twisted Pictures,USA,92,David Hackl,5,10.542968425925900,Saw VI,R,Horror,2009-10-23,11000000.0,68234154,6.203104909090910,90,Kevin Greutert,Twisted Pictures,12
Saw VI,saw,R,Horror,2009-10-23,30.0,11000000.0,68234154,0,2,0,0,Twisted Pictures,Canada,90,Kevin Greutert,6,6.203104909090910,Saw: The Final Chapter,R,Crime,2010-10-29,20000000.0,136150434,6.8075217,90,Kevin Greutert,Twisted Pictures,12
Scary Movie,scary,R,Comedy,2000-07-07,48.0,19000000.0,278019771,7,6,0,0,Dimension Films,USA,88,Keenen Ivory Wayans,1,14.63261952631580,Scary Movie 2,R,Comedy,2001-07-04,45000000.0,141220678,3.138237288888890,83,Keenen Ivory Wayans,Dimension Films,12
Scary Movie 2,scary,R,Comedy,2001-07-04,29.0,45000000.0,141220678,3,4,0,0,Dimension Films,USA,83,Keenen Ivory Wayans,2,3.138237288888890,Scary Movie 3,PG-13,Comedy,2003-10-24,48000000.0,220673217,4.5973586875,84,David Zucker,Dimension Films,27
Scary Movie 3,scary,PG-13,Comedy,2003-10-24,49.0,48000000.0,220673217,2,4,0,0,Dimension Films,USA,84,David Zucker,3,4.5973586875,Scary Movie 4,PG-13,Comedy,2006-04-14,45000000.0,178262620,3.9613915555555600,83,David Zucker,Dimension Films,30
Scary Movie 4,scary,PG-13,Comedy,2006-04-14,40.0,45000000.0,178262620,1,3,0,0,Dimension Films,USA,83,David Zucker,4,3.9613915555555600,Scary Movie 5,PG-13,Comedy,2013-04-12,20000000.0,78378744,3.9189372,86,Malcolm D. Lee,Dimension Films,84
Scooby-Doo,scooby,PG,Adventure,2002-06-14,35.0,84000000.0,275650703,5,14,0,0,Warner Bros.,USA,86,Raja Gosnell,1,3.281555988095240,Scooby-Doo 2: Monsters Unleashed,PG,Adventure,2004-03-26,80000000.0,181216833,2.2652104125,93,Raja Gosnell,Warner Bros.,21
Scream,scream,R,Horror,1996-12-20,65.0,14000000.0,173046663,11,10,0,0,Dimension Films,USA,111,Wes Craven,1,12.360475928571400,Scream 2,R,Horror,1997-12-12,24000000.0,172363301,7.181804208333330,120,Wes Craven,Dimension Films,12
Scream 2,scream,R,Horror,1997-12-12,63.0,24000000.0,172363301,8,13,0,0,Dimension Films,USA,120,Wes Craven,2,7.181804208333330,Scream 3,R,Horror,2000-02-04,40000000.0,161834276,4.0458569,116,Wes Craven,Dimension Films,26
Scream 3,scream,R,Horror,2000-02-04,56.0,40000000.0,161834276,6,5,0,0,Dimension Films,USA,116,Wes Craven,3,4.0458569,Scream 4,R,Horror,2011-04-15,40000000.0,97231420,2.4307855,111,Wes Craven,Dimension Films,134
The Secret Life of Pets,secretpet,PG,Animation,2016-07-08,61.0,75000000.0,875457937,4,15,0,0,Universal Pictures,USA,87,Chris Renaud,1,11.672772493333300,The Secret Life of Pets 2,PG,Animation,2019-06-07,80000000.0,430051293,5.3756411625,86,Chris Renaud,Universal Pictures,35
Sex and the City,sexcity,R,Comedy,2008-05-30,53.0,65000000.0,418765321,2,12,0,0,New Line Cinema,USA,145,Michael Patrick King,1,6.4425434,Sex and the City 2,R,Comedy,2010-05-27,100000000.0,290745055,2.90745055,146,Michael Patrick King,New Line Cinema,24
Shanghai Noon,shanghai,PG-13,Action,2000-05-26,77.0,55000000.0,99274467,1,7,0,0,Touchstone Pictures,USA,110,Tom Dey,1,1.8049903090909100,Shanghai Knights,PG-13,Action,2003-02-07,50000000.0,88323487,1.76646974,114,David Dobkin,Touchstone Pictures,33
Sherlock Holmes,sherlock,PG-13,Action,2009-12-25,57.0,90000000.0,524028679,10,29,0,1,Warner Bros.,USA,128,Guy Ritchie,1,5.822540877777780,Sherlock Holmes: A Game of Shadows,PG-13,Action,2011-12-16,125000000.0,543848418,4.350787344,129,Guy Ritchie,Warner Bros.,24
The Shining,shining,R,Drama,1980-06-13,66.0,19000000.0,46207205,4,7,0,0,Warner Bros.,UK,146,Stanley Kubrick,1,2.4319581578947400,Doctor Sleep,R,Drama,2019-11-08,45000000.0,72381712,1.608482488888890,152,Mike Flanagan,Warner Bros.,473
Short Circuit,short,PG,Comedy,1986-05-09,50.0,9000000.0,40697761,1,3,0,0,TriStar Pictures,USA,98,John Badham,1,4.521973444444450,Short Circuit 2,PG,Comedy,1988-07-06,15000000.0,21630088,1.4420058666666700,110,Kenneth Johnson,TriStar Pictures,26
Shrek,shrek,PG,Animation,2001-05-18,84.0,60000000.0,484409218,38,60,1,1,DreamWorks Animation,USA,90,Andrew Adamson,1,8.073486966666670,Shrek 2,PG,Animation,2004-05-19,150000000.0,928760770,6.191738466666670,93,Andrew Adamson,DreamWorks,36
Shrek 2,shrek,PG,Animation,2004-05-19,75.0,150000000.0,928760770,18,50,0,1,DreamWorks,USA,93,Andrew Adamson,2,6.191738466666670,Shrek the Third,PG,Animation,2007-05-18,160000000.0,813367380,5.083546125,93,Chris Miller,DreamWorks,36
Shrek the Third,shrek,PG,Animation,2007-05-18,58.0,160000000.0,813367380,5,16,0,0,DreamWorks,USA,93,Chris Miller,3,5.083546125,Shrek Forever After,PG,Animation,2010-05-21,165000000.0,752600867,4.561217375757580,93,Mike Mitchell,DreamWorks Animation,36
Under Siege,siege,R,Action,1992-10-09,58.0,35000000.0,156563139,3,1,0,1,Warner Bros.,France,103,Andrew Davis,1,4.473232542857140,Under Siege 2: Dark Territory,R,Action,1995-07-14,60000000.0,104324083,1.7387347166666700,100,Geoff Murphy,Warner Bros.,33
The Silence of the Lambs,silence,R,Crime,1991-02-14,85.0,19000000.0,272753884,63,51,1,1,Strong Heart/Demme Production,USA,118,Jonathan Demme,1,14.35546757894740,Hannibal,R,Crime,2001-02-09,87000000.0,351692268,4.042439862068970,131,Ridley Scott,Metro-Goldwyn-Mayer (MGM),120
Hannibal,silence,R,Crime,2001-02-09,57.0,87000000.0,351692268,9,22,0,0,Metro-Goldwyn-Mayer (MGM),USA,131,Ridley Scott,2,4.042439862068970,Red Dragon,R,Crime,2002-10-04,78000000.0,209196298,2.6820038205128200,124,Brett Ratner,Universal Pictures,20
Red Dragon,silence,R,Crime,2002-10-04,60.0,78000000.0,209196298,4,10,0,0,Universal Pictures,Germany,124,Brett Ratner,3,2.6820038205128200,Hannibal Rising,R,Adventure,2007-02-09,50000000.0,82169884,1.64339768,121,Peter Webber,Young Hannibal Productions,52
Sin City,sin,R,Crime,2005-04-01,74.0,40000000.0,158733820,34,52,0,0,Dimension Films,USA,124,Frank Miller,1,3.9683455,Sin City: A Dame to Kill For,R,Action,2014-08-22,65000000.0,39407616,0.6062710153846150,102,Frank Miller,Aldamisa Entertainment,112
The Sisterhood of the Traveling Pants,sisterhood,PG,Comedy,2005-06-01,66.0,25000000.0,42013878,1,14,0,0,Alcon Entertainment,USA,119,Ken Kwapis,1,1.68055512,The Sisterhood of the Traveling Pants 2,PG-13,Comedy,2008-08-06,27000000.0,44352417,1.6426821111111100,119,Sanaa Hamri,Alcon Entertainment,38
Speed,speed,R,Action,1994-06-10,78.0,30000000.0,350448145,17,20,1,1,The Mark Gordon Company,USA,116,Jan de Bont,1,11.681604833333300,Speed 2: Cruise Control,PG-13,Action,1997-06-13,160000000.0,164508066,1.0281754125,121,Jan de Bont,Blue Tulip Productions,36
Spider-Man,spiderman,PG-13,Action,2002-05-03,73.0,139000000.0,825025036,16,61,0,1,Columbia Pictures,USA,121,Sam Raimi,1,5.935431913669060,Spider-Man 2,PG-13,Action,2004-06-30,200000000.0,788976453,3.944882265,127,Sam Raimi,Columbia Pictures,25
Spider-Man 2,spiderman,PG-13,Action,2004-06-30,83.0,200000000.0,788976453,24,60,1,1,Columbia Pictures,USA,127,Sam Raimi,2,3.944882265,Spider-Man 3,PG-13,Action,2007-05-04,258000000.0,894983373,3.4689278023255800,139,Sam Raimi,Columbia Pictures,35
Spider-Man 3,spiderman,PG-13,Action,2007-05-04,59.0,258000000.0,894983373,3,32,0,0,Columbia Pictures,USA,139,Sam Raimi,3,3.4689278023255800,The Amazing Spider-Man,PG-13,Action,2012-07-03,230000000.0,757930663,3.2953507086956500,136,Marc Webb,Columbia Pictures,62
The Amazing Spider-Man,spiderman,PG-13,Action,2012-07-03,66.0,230000000.0,757930663,2,31,0,0,Columbia Pictures,USA,136,Marc Webb,4,3.2953507086956500,The Amazing Spider-Man 2,PG-13,Action,2014-05-02,200000000.0,708982323,3.544911615,142,Marc Webb,Marvel Enterprises,22
The Amazing Spider-Man 2,spiderman,PG-13,Action,2014-05-02,53.0,200000000.0,708982323,4,30,0,0,Marvel Enterprises,USA,142,Marc Webb,5,3.544911615,Spider-Man: Homecoming,PG-13,Action,2017-07-07,175000000.0,880166924,5.02952528,133,Jon Watts,Columbia Pictures,38
Spider-Man: Homecoming,spiderman,PG-13,Action,2017-07-07,73.0,175000000.0,880166924,7,9,0,0,Columbia Pictures,USA,133,Jon Watts,6,5.02952528,Spider-Man: Far from Home,PG-13,Action,2019-07-02,160000000.0,1131927996,7.074549975,129,Jon Watts,Columbia Pictures,24
Spy Kids,spy,PG,Action,2001-03-30,71.0,35000000.0,147934180,2,10,0,0,Dimension Films,USA,88,Robert Rodriguez,1,4.226690857142860,Spy Kids 2: Island of Lost Dreams,PG,Action,2002-08-07,38000000.0,119723358,3.1506146842105300,100,Robert Rodriguez,Dimension Films,17
Spy Kids 2: Island of Lost Dreams,spy,PG,Action,2002-08-07,66.0,38000000.0,119723358,3,3,0,0,Dimension Films,USA,100,Robert Rodriguez,2,3.1506146842105300,Spy Kids 3-D: Game Over,PG,Action,2003-07-25,38000000.0,197101678,5.186886263157900,84,Robert Rodriguez,Dimension Films,11
Spy Kids 3-D: Game Over,spy,PG,Action,2003-07-25,57.0,38000000.0,197101678,3,5,0,0,Dimension Films,USA,84,Robert Rodriguez,3,5.186886263157900,Spy Kids 4: All the Time in the World,PG,Action,2011-08-19,27000000.0,85564310,3.1690485185185200,89,Robert Rodriguez,Dimension Films,97
Star Trek,startrek,G,Adventure,1979-12-08,48.0,35000000.0,82604699,4,17,0,1,Paramount Pictures,USA,132,Robert Wise,1,2.360134257142860,Star Trek II: The Wrath of Khan,PG,Action,1982-06-04,11200000.0,78912963,7.0458002678571400,113,Nicholas Meyer,Paramount Pictures,30
Star Trek II: The Wrath of Khan,startrek,PG,Action,1982-06-04,67.0,11200000.0,78912963,3,9,0,0,Paramount Pictures,USA,113,Nicholas Meyer,2,7.0458002678571400,Star Trek III: The Search for Spock,PG,Action,1984-06-01,17000000.0,76471046,4.498296823529410,105,Leonard Nimoy,Paramount Pictures,24
Star Trek III: The Search for Spock,startrek,PG,Action,1984-06-01,56.0,17000000.0,76471046,1,7,0,0,Paramount Pictures,USA,105,Leonard Nimoy,3,4.498296823529410,Star Trek IV: The Voyage Home,PG,Adventure,1986-11-26,25000000.0,109713132,4.38852528,119,Leonard Nimoy,Paramount Pictures,29
Star Trek IV: The Voyage Home,startrek,PG,Adventure,1986-11-26,71.0,25000000.0,109713132,4,14,0,1,Paramount Pictures,USA,119,Leonard Nimoy,4,4.38852528,Star Trek V: The Final Frontier,PG,Action,1989-06-09,27800000.0,52210049,1.8780593165467600,107,William Shatner,Paramount Pictures,31
Star Trek V: The Final Frontier,startrek,PG,Action,1989-06-09,43.0,27800000.0,52210049,4,3,0,0,Paramount Pictures,USA,107,William Shatner,5,1.8780593165467600,Star Trek VI: The Undiscovered Country,PG,Action,1991-12-06,30000000.0,96888996,3.2296332,110,Nicholas Meyer,Paramount Pictures,30
Star Trek VI: The Undiscovered Country,startrek,PG,Action,1991-12-06,65.0,30000000.0,96888996,2,7,0,1,Paramount Pictures,USA,110,Nicholas Meyer,6,3.2296332,Star Trek: Generations,PG,Action,1994-11-18,35000000.0,118071125,3.3734607142857100,118,David Carson,Paramount Pictures,35
Star Trek: Generations,startrek,PG,Action,1994-11-18,55.0,35000000.0,118071125,2,4,0,0,Paramount Pictures,USA,118,David Carson,7,3.3734607142857100,Star Trek: First Contact,PG-13,Action,1996-11-22,45000000.0,146027888,3.2450641777777800,111,Jonathan Frakes,Digital Image Associates,24
